Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16760619 6140,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Local Needs,NEW,2003/04,21/07/1995,SMDC,2
16220821 1041,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Local Needs,NEW,1999/00,11/04/1996,DDDC,2
16921121 7501,Great Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Local Needs,NEW,1991/92,21/05/1991,DDDC,2
16880616 4771,Hathersage,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Local Needs,NEW,2002/03,28/07/2000,DDDC,2
16100706 1979,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Local Needs,NEW,2007/08,01/12/2005,DDDC,2
16300808 0016,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Local Needs,NEW,2008/09,22/01/2007,DDDC,2
16771115 6021,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Local Needs,NEW,1996/97,09/03/1994,HPBC,2
16081115 6488,Rainow,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Local Needs,NEW,1994/95,12/07/1993,MBC,3
16980115 0815,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Local Needs,NEW,2005/06,24/09/2003,DDDC,3
16321126 1551,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Local Needs,NEW,2005/06,24/09/2003,DDDC,-1
16030428 2304,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Local Needs,NEW,1998/99,22/04/1997,DDDC,3
16200226 9476,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Local Needs,NEW,1994/95,14/06/1993,DDDC,3
16320126 0282,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Local Needs,NEW,1998/99,05/08/1997,DDDC,3
16110220 8921,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Local Needs,NEW,2000/01,01/03/1996,DDDC,3
16751013 0979,Castleton,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Local Needs,NEW,2005/06,15/12/2003,HPBC,4
16671129 0657,Quarnford,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Local Needs,NEW,1995/96,16/08/1995,SMDC,4
16190225 0107,Edale,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Local Needs,NEW,2003/04,03/03/2003,HPBC,4
16091015 8013,Quarnford,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Local Needs,NEW,1997/98,14/06/1993,SMDC,4
16560112 4919,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Local Needs,NEW,1999/00,03/04/1998,SMDC,4
16380207 3787,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Local Needs,NEW,1992/93,03/09/1991,DDDC,5
16011120 5506,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Local Needs,NEW,2000/01,15/12/1998,DDDC,2
16120128 3437,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Local Needs,NEW,2005/06,15/12/1998,DDDC,3
16010815 9542,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Local Needs,NEW,1993/94,23/10/1990,DDDC,5
16440708 5325,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Local Needs,NEW,1996/97,05/05/1995,DDDC,6
16210102 9045,Bakewell,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Local Needs,NEW,2005/06,10/12/2004,DDDC,6
16710922 0314,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Local Needs,NEW,2008/09,05/04/2007,DDDC,6
16030519 3419,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Local Needs,NEW,1992/93,09/04/1991,SMDC,6
16900606 9745,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Local Needs,NEW,1993/94,03/08/1992,DDDC,6
16600516 2703,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Local Needs,NEW,1994/95,26/10/1993,DDDC,6
16840612 6493,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Local Needs,NEW,1994/95,01/03/1993,DDDC,7
16110818 7970,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Local Needs,NEW,2009/10,05/03/2009,DDDC,8
16240602 1572,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Local Needs,NEW,1991/92,26/10/1990,SCC,8
16350922 6472,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Local Needs,NEW,2003/04,16/07/2002,HPBC,3
16690420 1008,Hope,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Local Needs,NEW,2005/06,16/07/2002,HPBC,4
16921122 4754,Hope,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Local Needs,NEW,2006/07,16/07/2002,HPBC,2
16900212 4528,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Local Needs,NEW,2008/09,18/03/2005,DDDC,10
16730424 1354,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Local Needs,NEW,1997/98,16/01/1997,DDDC,10
16280212 5662,Grindleford,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Local Needs,NEW,1997/98,09/08/1996,DDDC,12
16451213 5981,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Local Needs,NEW,2006/07,11/01/2006,DDDC,12
16800617 9322,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Local Needs,NEW,1998/99,07/03/1997,DDDC,12
16411104 0921,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Local Needs,NEW,1994/95,08/10/1992,SMDC,16
16460803 2563,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Local Needs,NEW,1994/95,06/10/1993,DDDC,17
16780423 3448,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Local Needs,NEW,2002/03,15/06/2001,DDDC,18
16401229 2787,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Local Needs,NEW,2006/07,27/08/2005,DDDC,22
16791008 2648,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Local Needs,NEW,2006/07,15/07/2002,DDDC,36
16310816 1765,Birchover,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Local Needs,NEW,1994/95,09/06/1994,DDDC,1
16180117 2618,Grindleford,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Local Needs,NEW,1997/98,09/01/1995,DDDC,1
16200711 2358,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Local Needs,NEW,2002/03,23/03/2001,DDDC,1
16650306 5184,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Local Needs,NEW,2009/10,16/06/2009,DDDC,2
16460622 8189,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Local Needs,NEW,2009/10,08/07/2009,HPBC,3
16720501 6269,Elton,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Local Needs,NEW,2010/11,01/02/2010,DDDC,6
16220124 7513,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Local Needs,NEW,2010/11,22/04/2008,DDDC,1
16500503 7667,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Local Needs,NEW,2010/11,22/05/2007,DDDC,2
16180517 4156,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Local Needs,NEW,2010/11,14/03/2006,DDDC,1
16760304 3873,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Local Needs,NEW,2010/11,14/05/1996,DDDC,1
16710620 3065,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Local Needs,NEW,2011/12,24/01/2007,DDDC,3
16821018 8119,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Local Needs,NEW,2011/12,16/12/1998,SMDC,1
16790703 2408,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Local Needs,NEW,2011/12,26/11/2009,HPBC,8
16250114 7488,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Local Needs,NEW,2011/12,13/12/2006,DDDC,4
16071012 4843,Flagg,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Local Needs,NEW,2011/12,27/08/2003,DDDC,1
16900920 2244,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Local Needs,NEW,2011/12,14/01/2010,SMDC,6
16120130 4563,High Peak,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Local Needs,VAR,2001/02,11/04/2001,DDDC,-10
16190327 9824,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Local Needs,VAR,2003/04,29/05/2003,DDDC,-2
16111123 9404,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Local Needs,VAR,1995/96,17/10/1995,MBC,-2
16441212 1289,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Local Needs,VAR,2008/09,14/12/2007,DDDC,-2
16291006 3706,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Local Needs,VAR,2007/08,22/05/2007,DDDC,-1
16530103 5704,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Local Needs,VAR,2004/05,01/09/2004,DDDC,-1
16910803 7210,Little Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Local Needs,VAR,2003/04,01/09/2003,DDDC,-1
16250524 6229,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Local Needs,VAR,2007/08,10/12/2007,DDDC,-1
16580210 8844,Brushfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Local Needs,VAR,2003/04,15/01/2004,DDDC,-1
16720130 0980,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Local Needs,VAR,2007/08,21/12/2007,HPBC,1
16640330 9559,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Local Needs,VAR,2005/06,23/09/2005,DDDC,1
16930715 8775,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Local Needs,VAR,2000/01,07/08/2000,MBC,1
16311207 6645,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Local Needs,VAR,1997/98,30/03/1998,MBC,-2
16271014 4326,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Local Needs,VAR,2000/01,05/09/2000,DDDC,-1
16801106 4246,Little Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Local Needs,VAR,1997/98,16/10/1997,DDDC,1
16251227 2184,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Local Needs,VAR,2009/10,30/11/2009,HPBC,1
16180116 7121,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Local Needs,VAR,2011/12,07/06/2011,HPBC,2
16771119 6951,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Local Needs,VAR,2011/12,12/10/2011,DDDC,1
16461029 4599,Outseats,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Agricultural,COU,2008/09,05/08/1994,DDDC,1
16170307 8228,Stanton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Agricultural,COU,1995/96,24/04/1990,DDDC,1
16361022 1099,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Agricultural,COU,1992/93,07/03/1991,DDDC,1
16120813 9954,Fawfieldhead,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Agricultural,COU,1993/94,20/04/1990,SMDC,1
16770914 9301,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Agricultural,COU,1994/95,30/04/1992,DDDC,1
16550214 5476,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Agricultural,COU,1998/99,03/06/1997,DDDC,1
16060827 3405,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Agricultural,COU,1999/00,23/04/1998,DDDC,1
16691111 9003,Winster,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Agricultural,COU,2008/09,14/12/2007,DDDC,1
16560105 0684,Middleton & Smerrill,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Agricultural,COU,2009/10,15/11/1995,DDDC,1
16490808 8596,South Darley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Agricultural,COU,1996/97,06/09/1996,DDDC,1
16241104 5665,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Agricultural,COU,1996/97,04/12/1995,MBC,1
16730127 4267,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Agricultural,COU,2005/06,27/01/2003,DDDC,1
16100305 3186,Sheen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Agricultural,COU,1995/96,18/03/1991,SMDC,1
16400919 8336,Sheen,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Agricultural,COU,1999/00,09/03/1993,SMDC,1
16180817 3015,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Agricultural,COU,1999/00,14/12/1998,DDDC,1
16060724 5545,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Agricultural,COU,2000/01,26/11/1996,DDDC,1
16140804 3568,Middleton & Smerrill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Agricultural,COU,2006/07,03/06/2004,DDDC,1
16421103 1937,Ivonbrook Grange,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Agricultural,COU,1994/95,15/06/1992,DDDC,1
16550324 0458,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Agricultural,COU,2008/09,17/10/2006,DDDC,1
16731016 3857,Aldwark,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Agricultural,COU,1992/93,06/11/1990,DDDC,1
16960311 1700,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Agricultural,COU,1992/93,29/08/1990,SMDC,1
16760619 6140,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Agricultural,COU,2001/02,11/04/2000,DDDC,1
16220821 1041,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Agricultural,COU,2003/04,25/09/2002,HPBC,1
16921121 7501,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Agricultural,COU,1995/96,07/02/1994,DDDC,1
16880616 4771,Grindon,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Agricultural,COU,1992/93,18/07/1991,SMDC,1
16100706 1979,Butterton,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Agricultural,COU,1998/99,26/08/1994,SMDC,1
16300808 0016,Butterton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Agricultural,COU,1992/93,04/10/1991,SMDC,1
16771115 6021,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Agricultural,COU,2006/07,02/04/2007,DDDC,1
16081115 6488,Heathylee,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Agricultural,COU,2003/04,06/02/1995,SMDC,1
16980115 0815,Birchover,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Agricultural,COU,1998/99,05/12/1994,DDDC,1
16321126 1551,Newton Grange,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Agricultural,COU,1998/99,06/12/1994,DDDC,1
16030428 2304,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Agricultural,COU,2004/05,21/07/1994,HPBC,2
16200226 9476,Derwent,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Agricultural,COU,1992/93,08/03/1991,HPBC,1
16320126 0282,Little Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Agricultural,COU,2002/03,06/08/2002,DDDC,1
16110220 8921,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Agricultural,COU,2000/01,28/01/1998,DDDC,1
16751013 0979,Harthill,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Agricultural,COU,2010/11,17/03/2008,DDDC,1
16671129 0657,Tissington,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Agricultural,COU,1996/97,27/09/1994,DDDC,1
16190225 0107,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Agricultural,COU,1992/93,04/04/1991,DDDC,1
16091015 8013,Wincle,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Agricultural,COU,2007/08,04/03/1996,MBC,1
16560112 4919,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Agricultural,COU,1993/94,31/03/1992,HPBC,1
16380207 3787,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Agricultural,COU,2010/11,24/08/1993,DDDC,1
16011120 5506,Middleton & Smerrill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Agricultural,COU,2011/12,01/07/2009,DDDC,1
16120128 3437,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Agricultural,NEW,1999/00,10/02/1998,HPBC,1
16010815 9542,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Agricultural,NEW,2005/06,24/09/2003,DDDC,1
16440708 5325,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Agricultural,NEW,2005/06,09/06/2005,DDDC,1
16210102 9045,Wincle,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Agricultural,NEW,2008/09,12/02/2008,MBC,1
16710922 0314,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Agricultural,NEW,1992/93,01/03/1990,DDDC,1
16030519 3419,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Agricultural,NEW,2002/03,09/07/2002,DDDC,1
16900606 9745,King Sterndale,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Agricultural,NEW,2005/06,28/10/2002,HPBC,1
16600516 2703,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Agricultural,NEW,1998/99,14/03/1997,DDDC,1
16840612 6493,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Agricultural,NEW,1999/00,15/05/1998,HPBC,1
16110818 7970,Eaton & Alsop,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Agricultural,NEW,2002/03,29/03/1999,DDDC,1
16240602 1572,Tintwistle,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Agricultural,NEW,2000/01,12/07/1999,HPBC,1
16350922 6472,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Agricultural,NEW,2008/09,23/02/1999,DDDC,1
16690420 1008,Onecote,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Agricultural,NEW,2002/03,01/07/1996,SMDC,1
16921122 4754,Onecote,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Agricultural,NEW,1996/97,04/07/1996,SMDC,1
16900212 4528,Eaton & Alsop,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Agricultural,NEW,1999/00,16/07/1998,DDDC,1
16730424 1354,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Agricultural,NEW,2007/08,12/08/2004,DDDC,1
16280212 5662,Wincle,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Agricultural,NEW,1996/97,26/07/1995,MBC,1
16451213 5981,Flagg,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Agricultural,NEW,2002/03,15/01/1998,DDDC,1
16800617 9322,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Agricultural,NEW,2008/09,22/03/2005,DDDC,1
16411104 0921,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Agricultural,NEW,2010/11,13/09/2007,SMDC,1
16460803 2563,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Agricultural,NEW,2002/03,15/04/1999,DDDC,1
16780423 3448,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Agricultural,NEW,1996/97,28/02/1994,DDDC,1
16401229 2787,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Agricultural,NEW,2005/06,27/09/2001,DDDC,1
16791008 2648,Hollinsclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Agricultural,NEW,1996/97,08/11/1985,SMDC,1
16310816 1765,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Agricultural,NEW,2002/03,22/11/2001,DDDC,1
16180117 2618,Bradfield,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Agricultural,NEW,1993/94,26/02/1991,SCC,1
16200711 2358,Ballidon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Agricultural,NEW,2003/04,30/11/1998,DDDC,1
16650306 5184,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Agricultural,NEW,1992/93,19/01/1990,SMDC,1
16460622 8189,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Agricultural,NEW,2000/01,14/05/1992,DDDC,1
16720501 6269,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Agricultural,NEW,1997/98,01/03/1993,SMDC,1
16220124 7513,Sheen,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Agricultural,NEW,2003/04,09/05/1996,SMDC,1
16500503 7667,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Agricultural,NEW,2008/09,29/04/1996,MBC,1
16180517 4156,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Agricultural,NEW,1993/94,12/06/1989,HPBC,1
16760304 3873,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Agricultural,NEW,1992/93,25/07/1990,SMDC,1
16710620 3065,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Agricultural,NEW,1992/93,20/08/1991,DDDC,1
16821018 8119,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Agricultural,NEW,1995/96,16/05/1991,DDDC,1
16790703 2408,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Agricultural,NEW,1996/97,06/07/1994,SMDC,1
16250114 7488,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Agricultural,NEW,1995/96,05/04/1993,DDDC,1
